Source,Target,Weight
3,12397,49
4,12397,34
25,12397,1
30,12398,388
31,12398,319
34,12398,32
35,12398,23
58,12398,2
31,12399,91
83,12399,79
4,12400,3
3,12405,40
83,12405,1
3,12406,20
142,12406,5
153,12406,1
30,12414,173
175,12414,92
31,12414,87
34,12414,33
153,12414,4
35,12414,4
30,12415,17
189,12415,3
58,12431,24
3,12438,3
153,12441,43
30,12460,62
175,12460,39
34,12460,28
31,12460,28
35,12460,8
153,12460,2
58,12460,2
58,12482,6
470,12485,3612
471,12485,3491
189,12485,1107
480,12485,849
482,12485,556
3,12485,461
31,12485,431
488,12485,354
30,12500,1
189,12501,7
4,12511,40
83,12511,1
586,12512,28
189,12512,6
83,12512,3
31,12540,112
34,12540,18
35,12540,17
58,12540,2
3,12540,1
31,12547,22
30,12551,95
31,12551,58
175,12551,42
34,12551,23
153,12551,4
35,12551,4
663,12551,1
30,12552,269
31,12552,249
34,12552,29
35,12552,20
58,12552,2
31,12554,42
34,12554,21
153,12554,4
35,12554,3
3,12568,6
4,12568,4
470,12568,1
31,12580,85
35,12580,10
34,12580,4
58,12580,2
3,12580,1
30,12586,12
31,12596,186
30,12596,179
34,12596,28
35,12596,17
58,12596,2
31,12642,86
35,12642,11
34,12642,5
58,12642,2
3,12642,1
34,12643,16
31,12643,6
35,12643,3
586,12653,462
83,12653,2
175,12653,2
470,12653,1
31,12658,7
25,12689,4
586,12694,22
83,12694,3
31,12694,1
153,12717,117
4,12717,95
25,12717,1
31,12725,105
35,12725,17
34,12725,5
58,12725,2
3,12725,1
30,12754,62
175,12754,36
34,12754,28
31,12754,28
35,12754,8
153,12754,2
58,12754,2
471,12768,11
25,12777,514
3,12793,83
142,12812,378
142,12816,179
34,12824,22
35,12824,8
31,12824,4
153,12824,2
58,12824,2
31,12827,29
34,12827,21
35,12827,3
153,12827,1
34,12828,22
35,12828,8
31,12828,4
153,12828,2
58,12828,2
83,12837,6
83,12841,6
83,12848,24
142,12848,1
31,12857,112
34,12857,18
35,12857,17
58,12857,2
3,12857,1
31,12863,44
34,12863,21
153,12863,4
35,12863,3
34,12864,27
175,12864,8
35,12864,8
31,12864,5
153,12864,2
58,12864,2
3,12867,83
3,12877,17
189,12877,6
153,12929,282
31,12929,4
