id,label,type
3, technoweenie,user
4, defunkt,user
25, dustin,user
30, michaelklishin,user
31, wycats,user
34, benburkert,user
35, wayneeseguin,user
58, technicalpickles,user
83, kamal,user
117, ryanb,user
142, nicksieger,user
153, drnic,user
175, mattetti,user
189, josh,user
470, dhh,user
471, jeremy,user
480, lifo,user
482, NZKoz,user
488, jamis,user
586, mislav,user
663, chuyeow,user
2387, madrobby,user
12397,mojombo/grit,repository
12398,wycats/merb-core,repository
12399,rubinius/rubinius,repository
12400,mojombo/god,repository
12405,technoweenie/restful-authentication,repository
12406,technoweenie/attachment_fu,repository
12414,wycats/merb-more,repository
12415,macournoyer/thin,repository
12431,ruby-git/ruby-git,repository
12438,mojombo/chronic,repository
12441,drnic/ruby-on-rails-tmbundle,repository
12460,wycats/merb-plugins,repository
12482,sevenwire/forgery,repository
12485,josh/rails,repository
12500,collectiveidea/graticule,repository
12501,collectiveidea/tinder,repository
12511,defunkt/facebox,repository
12512,haml/haml,repository
12540,halorgium/merb-core,repository
12547,reinh/jquery-autocomplete,repository
12551,jnicklas/merb-more,repository
12552,jnicklas/merb-core,repository
12554,sr/merb-more,repository
12568,tobi/delayed_job,repository
12580,xraid/merb-core,repository
12586,yrashk/strokedb,repository
12596,jackdempsey/merb-core,repository
12642,piclez/merb-core,repository
12643,piclez/merb-more,repository
12653,mislav/will_paginate,repository
12658,lsegal/yard,repository
12689,ctran/annotate_models,repository
12694,mislav/haml,repository
12717,defunkt/github-gem,repository
12725,cobrien/merb-core,repository
12754,mattetti/merb-plugins,repository
12768,nathansobo/treetop,repository
12777,dustin/java-memcached-client,repository
12793,mephistorb/mephisto,repository
12812,jruby/warbler,repository
12816,ci-reporter/ci_reporter,repository
12824,heimidal/merb-plugins,repository
12827,halorgium/merb-more,repository
12828,halorgium/merb-plugins,repository
12837,brynary/webrat,repository
12841,dchelimsky/webrat,repository
12848,kamal/webrat,repository
12857,rubyisbeautiful/merb-core,repository
12863,redmar/merb-more,repository
12864,redmar/merb-plugins,repository
12867,technoweenie/mephisto,repository
12877,technoweenie/acts_as_versioned,repository
12929,drnic/newgem,repository
12930,composite-primary-keys/composite_primary_keys,repository
12941,fightinjoe/merb-more,repository
12942,fightinjoe/merb-plugins,repository
12957,nulang/nu,repository
13025,adamwiggins/rest-client,repository
13053,jnicklas/merb-plugins,repository
13071,ffmike/annotate_models,repository
13096,fabien/merb-core,repository
13097,fabien/merb-more,repository
13098,fabien/merb-plugins,repository
13150,defunkt/cheat,repository
13181,vanpelt/merb-plugins,repository
13196,tslocke/hobo,repository
13205,vanpelt/merb-core,repository
13345,jchris/couchrest,repository
13357,auser/merb-core,repository
13358,auser/merb-more,repository
13359,auser/merb-plugins,repository
13371,stevenbristol/lovd-by-less,repository
13412,cardmagic/merb-core,repository
13417,cardmagic/merb-more,repository
13418,cardmagic/merb-plugins,repository
13463,mbleigh/princely,repository
13515,grundprinzip/merb-plugins,repository
13519,jruby/activerecord-jdbc-adapter,repository
13556,prototypejs/prototype,repository
13557,sstephenson/sprockets,repository
13646,jeremyevans/sequel,repository
13648,ezmobius/nanite,repository
13657,beanstalkd/beanstalkd,repository
13663,tmm1/sequel,repository
13678,madrobby/scriptaculous,repository
13754,dchelimsky/rspec-tmbundle,repository
13755,dchelimsky/rspec-rails,repository
13757,dchelimsky/rspec-dev,repository
13819,prawnpdf/prawn,repository
13965,tobie/pdoc,repository
14052,joevandyk/webrat,repository
14073,dustin/py-github,repository
14107,rails/rails,repository
14115,veader/rails,repository
14117,ddollar/rails,repository
14119,NZKoz/rails,repository
14124,sudothinker/rails,repository
14152,jdelStrother/rails,repository
14153,zmalltalker/doc-rails,repository
14169,peterb/rails,repository
14170,joevandyk/rails,repository
14200,kwatch/rubinius,repository
14221,foca/rails,repository
14232,duff/rails,repository
14246,jeremy/rails,repository
14265,dlee/sequel,repository
14278,jashkenas/ruby-processing,repository
14279,lukemelia/rspec-tmbundle,repository
14284,lukemelia/rails,repository
14329,henrik/rails,repository
14342,thoughtbot/shoulda,repository
14412,predhme223/rails,repository
14415,gwynm/merb-plugins,repository
14428,alphabetum/attachment_fu,repository
14436,bytheway/merb-core,repository
14570,FotoVerite/rails,repository
14596,norman/friendly_id,repository
14625,schacon/grit,repository
14652,sr/sinatra,repository
14657,vanpelt/merb-more,repository
14659,victor/mephisto,repository
14708,bmizerany/thin,repository
14758,jgarber/redcloth,repository
14766,cardmagic/do,repository
14784,yob/prawn,repository
14824,spy555/merb-core,repository
14849,hookercookerman/merb-core,repository
14854,dharding/rails,repository
14934,Inviz/merb-core,repository
14977,giom/merb-core,repository
15002,aviflombaum/merb-core,repository
15009,mattetti/googlecharts,repository
15016,mattetti/book_mdar,repository
15046,dustin/memcached,repository
15058,giom/merb-plugins,repository
15064,ismasan/attachment_fu,repository
15076,chriseppstein/haml,repository
15091,pjhyett/github-services,repository
15099,yob/thinking-sphinx,repository
15120,zhhz/dm-core,repository
15136,tmm1/haml,repository
15163,nkallen/rails,repository
15169,madrobby/scripty2,repository
15277,nnnnon/rails,repository
15290,guan/rails,repository
15311,stympy/active_merchant,repository
15313,ericallam/docrails,repository
15341,duncanbeevers/rails,repository
15352,EugZol/strokedb,repository
15375,captproton/rails,repository
15423,mattetti/dm-more,repository
15514,jarib/celerity,repository
15528,ryanb/nifty-generators,repository
15538,koke/grit,repository
15554,sizix/rails,repository
15568,cardmagic/rails,repository
15582,erikhuda/thor,repository
15589,codahale/bcrypt-ruby,repository
15609,edwin-zz/rails,repository
15641,harmon/rails,repository
15643,manveru/ramaze,repository
15685,djwonk/docrails,repository
15691,itfrombit/nu,repository
15791,vitaly/rails,repository
15830,GeekyTrend/rails,repository
15947,jruby/jruby-rack,repository
16009,henrik/attachment_fu,repository
16028,ShinjiNakanishi/rails,repository
16046,arunalangar/rails,repository
16088,TampaRuby/docrails,repository
16185,joux3/webrat,repository
16195,mattetti/i18n,repository
16236,wzph/merb-more,repository
16237,wzph/merb-core,repository
16248,cypher/thor,repository
16308,ericdwhite/merb-more,repository
16310,dhaas/rails,repository
16348,dtsato/sequel,repository
16361,judofyr/camping,repository
16362,zachinglis/docrails,repository
16385,DrMark/thinking-sphinx,repository
16398,rughetto/dm-core,repository
16412,shanghaichris/rails,repository
16422,nitilaksha/merb-plugins,repository
16425,datafirm/merb-more,repository
16429,ricky/lovd-by-less,repository
16500,activescaffold/active_scaffold_demo,repository
16503,trondn/memcached,repository
16572,cho45/grit,repository
16591,outten45/merb-plugins,repository
16698,nnnnon/merb-core,repository
16707,drnic/github-tmbundle,repository
16721,jarkko/merb-more,repository
16761,timloo0710/merb-core,repository
16762,timloo0710/merb-plugins,repository
16782,yrashk/merb-core,repository
16799,bostonrb/bostonrb,repository
16813,apasha/rails,repository
16826,isaacfeliu/attachment_fu,repository
16844,avdi/rails,repository
16891,cflipse/altered_beast,repository
16894,lamsek/rails,repository
16899,chapados/nu,repository
16913,rails/exception_notification,repository
16934,akatz/rails,repository
16941,tmm1/thin,repository
16981,davidfstr/rdiscount,repository
16994,agibralter/rspec-tmbundle,repository
17019,btakita/rubyspec,repository
17022,btakita/rubinius,repository
17038,chneukirchen/rack,repository
17047,chad/gitjour,repository
17049,dchelimsky/rubyspec,repository
17053,wzph/dm-core,repository
17083,dustin/beanstalkd,repository
17101,commonthread/flickr_fu,repository
17117,wilson/gitjour,repository
17155,drd/rails,repository
17196,jarkko/dm-core,repository
17204,cmorss/dm-core,repository
17205,nogoth/gitjour,repository
17209,mbleigh/subdomain-fu,repository
17215,methodmissing/rails,repository
17218,peter123/rails,repository
17231,drnic/gitjour,repository
17255,thoughtbot/factory_bot,repository
17303,alexvollmer/gitjour,repository
17400,brushbox/sequel,repository
17443,sporkmonger/addressable,repository
17456,rubyruy/rails,repository
17489,marcel/aws-s3,repository
17538,quirkey/attachment_fu,repository
