Source,Target,Weight
0,12397,177
1,12397,67
2,12397,64
3,12397,49
4,12397,34
5,12397,19
6,12397,12
7,12397,10
8,12397,9
9,12397,4
10,12397,4
11,12397,4
12,12397,3
13,12397,3
14,12397,3
15,12397,2
16,12397,2
17,12397,2
18,12397,2
19,12397,2
20,12397,2
21,12397,2
22,12397,1
23,12397,1
24,12397,1
25,12397,1
26,12397,1
27,12397,1
28,12397,1
29,12397,1
30,12398,388
31,12398,319
32,12398,116
33,12398,88
34,12398,32
35,12398,23
36,12398,17
37,12398,13
38,12398,13
39,12398,9
40,12398,9
41,12398,8
42,12398,7
43,12398,6
44,12398,5
45,12398,5
46,12398,5
47,12398,4
48,12398,4
49,12398,4
50,12398,4
51,12398,3
52,12398,3
53,12398,3
54,12398,2
55,12398,2
56,12398,2
57,12398,2
58,12398,2
59,12398,2
60,12399,4381
61,12399,3051
62,12399,1047
63,12399,748
64,12399,703
65,12399,516
66,12399,470
67,12399,452
68,12399,359
69,12399,338
70,12399,250
71,12399,240
72,12399,218
73,12399,192
74,12399,154
75,12399,150
76,12399,140
77,12399,125
78,12399,123
79,12399,116
80,12399,97
81,12399,95
82,12399,95
31,12399,91
83,12399,79
84,12399,79
85,12399,79
86,12399,72
87,12399,71
88,12399,68
0,12400,452
89,12400,105
90,12400,11
91,12400,11
92,12400,7
8,12400,4
93,12400,4
94,12400,4
95,12400,4
96,12400,4
97,12400,4
4,12400,3
98,12400,3
99,12400,3
100,12400,3
101,12400,3
102,12400,3
103,12400,3
104,12400,3
105,12400,3
106,12400,2
107,12400,2
108,12400,2
109,12400,2
110,12400,2
111,12400,2
112,12400,2
113,12400,2
114,12400,2
115,12400,1
116,12401,22
31,12402,3
117,12403,4
4,12403,1
118,12403,1
4,12404,134
119,12404,13
58,12404,6
3,12405,40
120,12405,15
121,12405,5
122,12405,4
123,12405,4
124,12405,2
125,12405,2
126,12405,2
127,12405,2
128,12405,1
129,12405,1
130,12405,1
131,12405,1
132,12405,1
133,12405,1
134,12405,1
83,12405,1
52,12405,1
135,12405,1
136,12405,1
137,12405,1
138,12405,1
139,12405,1
140,12405,1
3,12406,20
141,12406,8
6,12406,7
142,12406,5
143,12406,4
144,12406,4
145,12406,4
146,12406,4
147,12406,3
148,12406,2
149,12406,2
137,12406,2
150,12406,2
151,12406,1
152,12406,1
153,12406,1
154,12406,1
155,12406,1
156,12406,1
157,12406,1
158,12406,1
159,12406,1
160,12406,1
161,12407,16
162,12408,127
163,12408,33
162,12409,269
163,12409,105
164,12409,66
165,12409,13
166,12409,4
167,12409,4
168,12409,2
162,12410,38
162,12411,1
0,12412,4
169,12413,12
170,12413,12
171,12413,9
172,12413,2
173,12413,1
174,12413,1
32,12414,217
30,12414,173
36,12414,156
175,12414,92
31,12414,87
33,12414,34
34,12414,33
176,12414,21
57,12414,20
45,12414,18
39,12414,13
177,12414,12
37,12414,8
41,12414,8
38,12414,6
43,12414,6
116,12414,5
61,12414,4
153,12414,4
178,12414,4
49,12414,4
35,12414,4
15,12414,3
179,12414,3
42,12414,3
171,12414,2
180,12414,2
181,12414,2
182,12414,1
183,12414,1
184,12415,549
97,12415,31
185,12415,25
30,12415,17
8,12415,7
186,12415,4
187,12415,4
188,12415,3
189,12415,3
190,12415,3
38,12415,3
191,12415,3
192,12415,3
193,12415,2
194,12415,2
195,12415,2
171,12415,2
78,12415,2
196,12415,2
197,12415,2
198,12415,2
199,12415,2
200,12415,2
201,12415,2
202,12415,2
203,12415,2
204,12415,2
205,12415,2
206,12415,2
207,12415,1
208,12416,119
209,12416,1
210,12416,1
208,12417,1
211,12418,13
208,12418,8
212,12418,1
4,12419,12
4,12420,7
213,12421,5
4,12421,5
25,12421,1
3,12421,1
214,12422,1
215,12423,813
2,12423,290
216,12423,94
217,12423,87
218,12423,70
219,12423,57
220,12423,29
221,12423,25
222,12423,22
223,12423,19
224,12423,10
225,12423,7
226,12423,6
227,12423,5
228,12423,5
229,12423,5
230,12423,4
231,12423,4
232,12423,4
233,12423,4
234,12423,4
235,12423,4
236,12423,3
237,12423,3
238,12423,3
239,12423,3
240,12423,3
241,12423,3
242,12423,3
243,12423,3
111,12424,40
3,12425,9
244,12425,3
111,12426,1
111,12427,3
111,12428,1
4,12429,18
245,12429,2
111,12430,3
246,12431,155
58,12431,24
1,12431,21
247,12431,5
248,12431,4
249,12431,4
250,12431,3
251,12431,3
252,12431,3
253,12431,2
254,12431,2
255,12431,2
256,12431,2
257,12431,2
258,12431,2
259,12431,2
260,12431,1
261,12431,1
262,12431,1
263,12431,1
264,12431,1
265,12431,1
266,12431,1
267,12431,1
268,12431,1
269,12431,1
270,12431,1
271,12431,1
272,12431,1
273,12431,1
4,12433,14
274,12434,3
54,12437,101
275,12437,5
276,12437,4
277,12437,2
278,12437,2
279,12437,2
280,12437,1
281,12437,1
282,12437,1
283,12437,1
284,12437,1
285,12437,1
286,12437,1
287,12438,77
288,12438,49
0,12438,41
289,12438,8
290,12438,6
291,12438,5
292,12438,4
293,12438,4
294,12438,4
295,12438,3
296,12438,3
297,12438,3
298,12438,3
3,12438,3
299,12438,2
300,12438,2
66,12438,2
301,12438,2
302,12438,2
303,12438,2
304,12438,2
305,12438,2
306,12438,2
307,12438,1
308,12438,1
309,12438,1
310,12438,1
311,12438,1
312,12438,1
313,12438,1
217,12439,117
314,12439,1
27,12439,1
2,12439,1
1,12439,1
315,12439,1
316,12440,12
131,12440,10
317,12440,7
318,12441,96
153,12441,43
319,12441,30
320,12441,8
321,12441,8
322,12441,2
323,12441,2
324,12441,2
325,12441,1
326,12441,1
327,12441,1
328,12441,1
329,12441,1
330,12441,1
331,12441,1
332,12441,1
333,12441,1
334,12441,1
335,12441,1
336,12441,1
337,12441,1
338,12441,1
339,12442,15
322,12442,1
340,12442,1
31,12443,82
33,12443,13
35,12443,9
3,12443,1
217,12444,13
214,12445,3
0,12445,2
214,12446,4
0,12446,2
217,12447,16
175,12448,2
171,12449,266
341,12449,22
342,12449,6
343,12449,5
344,12449,5
195,12449,4
345,12449,4
346,12449,4
347,12449,3
6,12449,3
348,12449,3
349,12449,3
350,12449,2
351,12449,2
352,12449,2
353,12449,1
354,12449,1
355,12449,1
356,12449,1
357,12449,1
358,12449,1
359,12449,1
360,12449,1
361,12449,1
362,12449,1
363,12449,1
204,12449,1
364,12449,1
35,12450,44
365,12450,12
366,12450,1
35,12452,2
35,12453,1
35,12454,1
35,12455,1
274,12456,3
367,12458,15
368,12458,3
369,12459,138
96,12459,2
30,12460,62
175,12460,39
34,12460,28
31,12460,28
32,12460,22
33,12460,14
370,12460,10
371,12460,10
36,12460,10
35,12460,8
372,12460,6
171,12460,5
116,12460,3
373,12460,3
374,12460,3
375,12460,3
49,12460,3
54,12460,2
153,12460,2
45,12460,2
376,12460,2
58,12460,2
46,12460,2
231,12460,2
43,12460,2
377,12460,2
378,12460,2
379,12460,2
380,12460,1
381,12460,1
369,12461,86
119,12462,8
4,12462,2
181,12463,9
382,12463,3
383,12463,1
384,12464,275
385,12464,12
386,12464,6
369,12465,24
36,12466,27
387,12467,294
15,12467,133
388,12467,67
389,12467,29
390,12467,16
391,12467,4
392,12467,3
393,12467,2
394,12467,1
395,12467,1
396,12467,1
145,12467,1
397,12467,1
398,12467,1
399,12467,1
400,12467,1
401,12467,1
36,12468,64
402,12468,1
403,12470,158
404,12470,51
405,12470,10
406,12470,7
189,12470,4
407,12470,2
408,12470,1
403,12471,8
153,12472,14
409,12473,116
410,12473,11
411,12473,8
181,12473,8
11,12473,6
412,12473,4
33,12473,4
413,12473,4
414,12473,3
121,12473,3
415,12473,3
416,12473,2
417,12473,2
418,12473,2
419,12473,2
420,12473,1
421,12473,1
422,12473,1
423,12473,1
368,12473,1
424,12473,1
425,12473,1
426,12473,1
427,12473,1
428,12473,1
429,12473,1
430,12473,1
431,12473,1
403,12474,25
432,12474,2
35,12475,7
0,12476,225
91,12476,11
4,12476,3
106,12476,2
97,12476,1
58,12477,34
34,12477,33
433,12477,17
368,12477,10
52,12477,5
434,12477,5
377,12477,5
435,12477,1
436,12478,99
384,12478,2
437,12478,1
438,12479,113
439,12479,19
369,12479,1
161,12480,2
161,12481,4
440,12482,105
441,12482,27
442,12482,19
443,12482,13
444,12482,13
445,12482,6
58,12482,6
446,12482,4
447,12482,4
448,12482,4
449,12482,4
450,12482,3
120,12482,2
451,12482,2
452,12482,2
453,12482,2
454,12482,2
455,12482,2
456,12482,2
457,12482,2
458,12482,1
459,12482,1
460,12482,1
461,12482,1
462,12482,1
463,12482,1
297,12482,1
464,12482,1
465,12482,1
466,12482,1
58,12483,17
467,12484,160
468,12484,9
469,12484,1
470,12485,3612
207,12485,3606
471,12485,3491
472,12485,3083
473,12485,2573
474,12485,1916
475,12485,1391
476,12485,1216
477,12485,1156
189,12485,1107
478,12485,1012
479,12485,945
480,12485,849
481,12485,582
482,12485,556
483,12485,517
484,12485,472
3,12485,461
485,12485,447
31,12485,431
486,12485,398
335,12485,396
487,12485,395
445,12485,393
488,12485,354
235,12485,332
489,12485,301
490,12485,238
491,12485,234
492,12485,233
493,12486,1
494,12486,1
111,12487,26
354,12487,7
495,12487,4
496,12487,1
217,12489,25
182,12489,11
21,12490,47
497,12490,40
498,12490,1
499,12490,1
497,12491,108
500,12491,106
21,12491,98
501,12491,61
498,12491,39
502,12491,19
503,12491,16
504,12491,13
505,12491,10
506,12491,10
507,12491,10
508,12491,8
509,12491,8
510,12491,8
511,12491,6
512,12491,5
513,12491,4
514,12491,3
354,12491,3
515,12491,3
516,12491,3
517,12491,3
518,12491,3
519,12491,2
520,12491,2
521,12491,2
522,12491,2
523,12491,2
524,12491,2
525,12491,2
497,12492,57
501,12492,50
498,12492,47
21,12492,37
526,12492,4
527,12492,1
528,12492,1
21,12493,10
497,12493,2
21,12494,18
497,12494,17
509,12495,19
21,12495,9
497,12496,5
21,12496,1
497,12497,25
497,12498,5
529,12498,1
21,12499,5
497,12499,2
21,12500,93
497,12500,48
498,12500,42
530,12500,16
531,12500,8
532,12500,5
533,12500,5
534,12500,4
535,12500,3
536,12500,3
537,12500,2
538,12500,1
30,12500,1
539,12500,1
501,12500,1
540,12500,1
511,12500,1
21,12501,91
498,12501,45
497,12501,21
541,12501,13
542,12501,8
89,12501,7
189,12501,7
317,12501,5
543,12501,5
511,12501,4
544,12501,3
242,12501,3
501,12501,3
545,12501,2
546,12501,2
547,12501,2
548,12501,2
549,12501,2
445,12501,1
550,12501,1
551,12501,1
533,12501,1
324,12501,1
552,12501,1
553,12501,1
554,12501,1
555,12501,1
556,12501,1
557,12501,1
558,12501,1
184,12502,61
559,12502,2
560,12503,10
227,12504,267
77,12504,19
561,12504,5
562,12504,4
563,12504,4
564,12504,1
4,12505,7
38,12506,194
249,12506,1
34,12507,6
565,12507,5
47,12507,2
560,12508,5
566,12508,1
560,12509,147
567,12509,19
568,12509,15
4,12511,40
569,12511,23
570,12511,2
571,12511,1
8,12511,1
572,12511,1
573,12511,1
574,12511,1
575,12511,1
83,12511,1
576,12511,1
577,12511,1
440,12511,1
578,12511,1
579,12511,1
146,12511,1
580,12511,1
581,12511,1
367,12512,3593
582,12512,458
583,12512,200
225,12512,167
445,12512,151
584,12512,134
585,12512,102
586,12512,28
587,12512,17
588,12512,10
589,12512,9
590,12512,7
8,12512,6
591,12512,6
592,12512,6
593,12512,6
189,12512,6
594,12512,4
15,12512,4
595,12512,4
512,12512,4
83,12512,3
596,12512,3
597,12512,3
438,12512,3
598,12512,3
599,12512,2
600,12512,2
601,12512,2
356,12512,2
52,12513,22
35,12513,3
162,12514,2
4,12514,1
6,12515,66
9,12515,1
316,12515,1
602,12515,1
0,12516,4
603,12518,1
604,12519,206
605,12519,11
11,12520,20
606,12520,1
0,12521,214
4,12521,3
106,12521,2
91,12521,2
11,12521,2
153,12522,170
607,12522,4
541,12523,1752
608,12523,185
609,12523,100
610,12523,61
501,12523,53
611,12523,16
612,12523,12
613,12523,11
614,12523,11
615,12523,8
616,12523,8
617,12523,7
618,12523,7
619,12523,7
620,12523,6
621,12523,5
622,12523,5
623,12523,5
624,12523,5
625,12523,4
626,12523,4
627,12523,4
628,12523,4
629,12523,4
630,12523,4
631,12523,4
632,12523,4
633,12523,4
634,12523,4
635,12523,4
608,12524,2
608,12526,3
608,12527,10
257,12527,10
636,12527,1
608,12528,1
637,12529,47
171,12529,29
319,12529,11
638,12529,1
639,12529,1
153,12530,58
575,12532,44
640,12532,19
641,12533,34
642,12533,1
643,12533,1
62,12534,3
644,12535,38
645,12536,29
646,12537,63
647,12537,1
168,12538,35
217,12539,6
648,12539,4
31,12540,112
33,12540,48
34,12540,18
35,12540,17
40,12540,9
41,12540,7
42,12540,6
49,12540,4
39,12540,3
52,12540,3
43,12540,3
58,12540,2
59,12540,2
649,12540,2
650,12540,1
651,12540,1
45,12540,1
46,12540,1
652,12540,1
3,12540,1
653,12542,7
33,12543,6
43,12543,2
5,12545,1
5,12546,1
654,12547,29
31,12547,22
655,12547,20
656,12547,17
242,12547,11
657,12547,3
658,12547,2
659,12547,2
660,12547,1
661,12547,1
162,12548,30
662,12549,63
111,12550,3
36,12551,154
32,12551,115
30,12551,95
31,12551,58
175,12551,42
33,12551,33
34,12551,23
176,12551,21
57,12551,20
45,12551,17
39,12551,13
41,12551,8
38,12551,6
43,12551,6
116,12551,5
153,12551,4
49,12551,4
35,12551,4
15,12551,3
179,12551,3
42,12551,3
171,12551,2
180,12551,2
181,12551,2
182,12551,1
663,12551,1
61,12551,1
664,12551,1
665,12551,1
370,12551,1
30,12552,269
31,12552,249
33,12552,72
32,12552,53
34,12552,29
35,12552,20
36,12552,17
39,12552,9
40,12552,9
41,12552,8
42,12552,7
43,12552,6
44,12552,5
45,12552,5
47,12552,4
49,12552,4
